project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject,person_ids
201145859,"Hybrid-FT(Fouriertransformations)-Massenspektrometer mit eindimensionalem, splitfreiem Nano-Ultrahochdruck-Flüssigkeitschromatographie-System",2011,2011,10485,Universitätsklinikum Ulm,1,,191476668
242037127,Mikroskop-basiertes Weitfeld High-Content Screening System,2013,2013,10485,Universitätsklinikum Ulm,1,,1727744
250849094,3 Tesla Ganz-Körper Magnetresonanztomograph,2014,2014,10485,Universitätsklinikum Ulm,1,,20211125
257897648,Konfokales Hochdurchsatz-Screening Laser-Raster Mikroskop,2014,2014,10485,Universitätsklinikum Ulm,1,,1278341
265992404,Durchflusszytometer,2014,2014,10485,Universitätsklinikum Ulm,1,,1762379
277016456,Einzelzell-Massenzytometer,2015,2015,10485,Universitätsklinikum Ulm,1,,277016873
325442974,Katapult-Lasermikrodissektionssystem mit live-cell Inkubationseinrichtung,2016,2016,10485,Universitätsklinikum Ulm,1,,1759412
356968953,Ganzkörper Hybrid PET/MR Tomograph,2017,2017,10485,Universitätsklinikum Ulm,1,,"1750080,127795638"
138733244,Real-time investigation of surface plasmon plariton propagation in nanoscale plasmonic phase structures,2009,2016,28552,Institut für Oberflächen- und Schichtanalytik GmbH an der Universität Kaiserslautern (IFOS),8,,1600019
172116086,SFB 926: Bauteiloberflächen: Morphologie auf der Mikroskala,2011,,28552,Institut für Oberflächen- und Schichtanalytik GmbH an der Universität Kaiserslautern (IFOS),3,,1090448
233949021,Ultraschallfügen von Aluminium/Titan-Verbunden für hybride Leichtbauanwendungen,2013,2016,28552,Institut für Oberflächen- und Schichtanalytik GmbH an der Universität Kaiserslautern (IFOS),4,,160364508
138733244,Real-time investigation of surface plasmon plariton propagation in nanoscale plasmonic phase structures,2009,2016,9371557,Technische Universität Kaiserslautern Nano Structuring Center (NSC),8,,1600019
139943784,SFB 884: Politische Ökonomie von Reformen,2010,,145000415,GESIS - Leibniz-Institut für Sozialwissenschaften,3,,1505694
139943784,SFB 884: Politische Ökonomie von Reformen,2010,,14140,Universität Mannheim Mannheimer Zentrum für Europäische Sozialforschung,3,,1505694
139943784,SFB 884: Politische Ökonomie von Reformen,2010,,10543,Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW),3,,1505694
